"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,093884706E0;6,508279799E1;2,540233363E1;7,779273508E0;2,528133374E1;4,789785668E-2;3,486430110E2;6,948902557E-4;1,404214786E1;2,426495585E1;-1,000000000E0
2,093867779E0;6,508279543E1;2,540234717E1;7,721355478E0;2,522341283E1;2,349327207E-1;1,101039515E2;2,185786838E-3;1,396579816E1;2,177077415E1;-1,000000000E0
3,093852043E0;6,508278547E1;2,540236849E1;7,886724029E0;2,538877424E1;5,828235149E-1;1,313090888E2;3,713125755E-3;1,273352218E1;1,908208470E1;-1,000000000E0
4,093837380E0;6,508278174E1;2,540239986E1;8,061912937E0;2,556395742E1;9,503975511E-1;1,125605494E2;5,633201146E-3;1,248509222E1;1,938160028E1;-1,000000000E0
5,093821406E0;6,508277447E1;2,540243704E1;8,329405825E0;2,583144228E1;9,503975511E-1;1,080321973E2;7,574921008E-3;1,209080330E1;1,959862923E1;-1,000000000E0
6,043806434E0;6,508278054E1;2,540247591E1;8,544374574E0;2,604640861E1;1,416106582E0;9,197839944E1;9,409845992E-3;1,185486804E1;1,971651145E1;-1,000000000E0
6,993691564E0;6,508277344E1;2,540251127E1;8,460579413E0;2,596260573E1;1,693153501E0;1,011622712E2;1,100330599E-2;1,179019969E1;1,973429610E1;-1,000000000E0
7,943192244E0;6,508277259E1;2,540254522E1;8,144216869E0;2,564623838E1;1,480623126E0;9,882370258E1;1,304447003E-2;1,115956052E1;1,846300493E1;-1,000000000E0
8,893170357E0;6,508276760E1;2,540258715E1;7,676373938E0;2,517838780E1;1,621059299E0;1,030522232E2;1,488842372E-2;1,018443737E1;1,574424704E1;-1,000000000E0
9,842874765E0;6,508276792E1;2,540262650E1;7,779637759E0;2,528164662E1;1,609830618E0;8,939037698E1;1,596017756E-2;1,406895148E1;2,220013355E1;-1,000000000E0
1,079287457E1;6,508276782E1;2,540264938E1;7,585017104E0;2,508702294E1;1,609830618E0;8,804118549E1;1,774035646E-2;1,166303517E1;1,921784900E1;-1,000000000E0
1,174285078E1;6,508276081E1;2,540268354E1;7,057447296E0;2,455944561E1;1,609243751E0;9,014478627E1;2,323528139E-2;1,270162534E1;1,991809198E1;-1,000000000E0
1,269285619E1;6,508271457E1;2,540272490E1;3,882259193E0;2,138423191E1;1,655320048E0;9,714782104E1;2,480180782E-2;1,305494072E1;2,146444902E1;-1,000000000E0
1,364286530E1;6,508271281E1;2,540275807E1;3,780431834E0;2,128239945E1;1,655320048E0;9,714785113E1;2,797094028E-2;1,305494072E1;2,146444902E1;-1,000000000E0
1,459285367E1;6,508268722E1;2,540278782E1;1,665374454E0;1,916732701E1;1,655320048E0;9,706498075E1;3,136114146E-2;1,209752175E1;2,125514255E1;-1,000000000E0
1,554286551E1;6,508266064E1;2,540282329E1;2,843326265E-1;1,778626895E1;1,655320048E0;1,101731242E2;3,313176522E-2;1,235741410E1;2,284720531E1;-1,000000000E0
1,649285388E1;6,508265724E1;2,540286021E1;-2,793749655E-1;1,722255505E1;1,705688596E0;9,872729657E1;3,454807818E-2;7,929655905E0;1,457950744E1;-1,000000000E0
1,744286215E1;6,508265355E1;2,540288915E1;-3,048028294E-1;1,719712181E1;1,705688596E0;9,836476178E1;3,576255470E-2;6,708400547E0;1,295499822E1;-1,000000000E0
1,839288104E1;6,508264769E1;2,540291102E1;-7,720993273E-1;1,672981990E1;1,606958985E0;9,261967800E1;3,806858050E-2;5,610263006E0;1,044732068E1;-1,000000000E0
1,934287381E1;6,508263340E1;2,540294668E1;-1,045946261E0;1,645596207E1;1,606958985E0;1,096141657E2;4,045454079E-2;7,145790375E0;1,340994267E1;-1,000000000E0
2,031389415E1;6,508261700E1;2,540297953E1;-9,109317251E-1;1,659096516E1;1,606958985E0;1,219675458E2;4,262212655E-2;9,918958165E0;1,967332267E1;-1,000000000E0
2,131388509E1;6,508259894E1;2,540299696E1;-8,344331980E-1;1,666745353E1;1,552696466E0;1,443239876E2;4,397756103E-2;5,904997706E0;1,212518251E1;-1,000000000E0
2,231387520E1;6,508258780E1;2,540298519E1;-1,149386837E0;1,635249656E1;1,288377285E0;1,682628103E2;4,553696241E-2;4,818915870E0;9,798032950E0;-1,000000000E0
2,331386435E1;6,508257403E1;2,540299140E1;-1,353170411E0;1,614870616E1;1,646871686E0;1,645417979E2;4,761600694E-2;7,310056086E0;1,502103671E1;-1,000000000E0
2,431385398E1;6,508255537E1;2,540298859E1;-1,164886492E0;1,633698230E1;1,792528510E0;1,700702087E2;4,997193492E-2;7,384672473E0;1,548886075E1;-1,000000000E0
2,531384265E1;6,508253758E1;2,540296127E1;-1,100698651E0;1,640116593E1;1,792528510E0;1,934590815E2;5,202113515E-2;6,551437529E0;1,417122156E1;-1,000000000E0
2,631383073E1;6,508251957E1;2,540295197E1;-1,201434784E0;1,630042315E1;1,792528510E0;1,922615708E2;5,396593704E-2;6,918700383E0;1,423626744E1;-1,000000000E0
2,731381905E1;6,508250220E1;2,540294704E1;-9,895475609E-1;1,651230343E1;1,731508493E0;1,846311683E2;5,608728844E-2;9,465033592E0;1,926169340E1;-1,000000000E0
2,831380665E1;6,508248393E1;2,540293405E1;-7,638486912E-1;1,673799601E1;1,652988672E0;1,816954389E2;5,823353636E-2;9,633752422E0;1,980585873E1;-1,000000000E0
2,931379473E1;6,508246480E1;2,540292790E1;-6,992528504E-1;1,680258430E1;1,696184635E0;1,796657421E2;5,992777476E-2;8,212132681E0;1,688473612E1;-1,000000000E0
3,031378162E1;6,508244975E1;2,540292221E1;-6,317708241E-1;1,687006050E1;1,652988672E0;1,811038658E2;6,134590124E-2;7,830427112E0;1,614607314E1;-1,000000000E0
3,131376863E1;6,508243817E1;2,540293486E1;-5,381961148E-1;1,696362850E1;1,630263448E0;1,633544504E2;6,263907056E-2;4,976052449E0;1,023030879E1;-1,000000000E0
3,231375599E1;6,508242666E1;2,540293888E1;-3,216039008E-1;1,718021517E1;1,468379021E0;1,744223307E2;6,562306112E-2;5,034534287E0;1,037193183E1;-1,000000000E0
3,331374228E1;6,508239994E1;2,540294473E1;-1,750308819E0;1,575149782E1;1,777763693E0;1,769933494E2;6,767992008E-2;4,583475716E0;4,848529778E0;-1,000000000E0
3,431372750E1;6,508238297E1;2,540296222E1;-1,892089582E0;1,560970737E1;1,611033232E0;1,621390916E2;6,905006884E-2;4,575618620E0;4,784936494E0;-1,000000000E0
3,531371355E1;6,508237100E1;2,540296918E1;-1,672055008E0;1,582973581E1;1,428227121E0;1,683365179E2;7,030924630E-2;4,558557857E0;4,761107990E0;-1,000000000E0
3,631369960E1;6,508236021E1;2,540296110E1;-8,372306824E-2;1,741806409E1;1,299337303E0;1,833096084E2;7,131993067E-2;4,572673339E0;4,705876589E0;-1,000000000E0
3,731368566E1;6,508235157E1;2,540296782E1;1,629789317E0;1,913157182E1;1,269456625E0;1,740776021E2;7,304533174E-2;4,576682651E0;4,643081705E0;-1,000000000E0
3,831367183E1;6,508233718E1;2,540295402E1;3,904034439E-1;1,789218147E1;1,327074360E0;1,839793458E2;7,353095453E-2;4,589601014E0;4,584989684E0;-1,000000000E0
3,931365633E1;6,508233320E1;2,540295825E1;7,681840705E-1;1,826995980E1;8,914640561E-1;1,791184281E2;7,527096095E-2;4,590781261E0;4,496646932E0;-1,000000000E0
4,031364155E1;6,508231778E1;2,540296458E1;7,073949920E-1;1,820916317E1;1,157773100E0;1,731965430E2;7,690185672E-2;4,576063799E0;4,424691666E0;-1,000000000E0
4,131362641E1;6,508230321E1;2,540296059E1;9,102919009E-1;1,841205423E1;1,283565011E0;1,753023833E2;7,781237243E-2;4,557333292E0;4,354839415E0;-1,000000000E0
4,231361151E1;6,508229555E1;2,540295370E1;-6,887335824E-1;1,681302630E1;1,079893598E0;1,786678791E2;7,982999151E-2;4,557292153E0;4,282874699E0;-1,000000000E0
4,331359577E1;6,508227741E1;2,540295327E1;-1,804703889E0;1,569704813E1;1,439402258E0;1,753584389E2;8,142030697E-2;4,548575164E0;4,235225283E0;-1,000000000E0
4,431358099E1;6,508226311E1;2,540295396E1;-8,145038066E-1;1,668724187E1;1,680602429E0;1,751462809E2;8,363056867E-2;4,531189980E0;4,214464799E0;-1,000000000E0
4,531356609E1;6,508224344E1;2,540296073E1;-4,823057409E-1;1,701943047E1;1,865131898E0;1,714351213E2;8,502485587E-2;4,540518899E0;4,211649577E0;-1,000000000E0
4,631355047E1;6,508223149E1;2,540295166E1;-2,079851832E-1;1,729374699E1;1,737837331E0;1,769787008E2;8,635771570E-2;4,535131871E0;4,199995261E0;-1,000000000E0
4,731353450E1;6,508221970E1;2,540294654E1;1,888933132E0;1,939066082E1;1,429107812E0;1,809165832E2;8,733630119E-2;4,557190019E0;4,131790019E0;-1,000000000E0
4,831351852E1;6,508221247E1;2,540293463E1;3,606947690E0;2,110867377E1;1,136676412E0;1,873663305E2;8,887245322E-2;4,572743061E0;4,086004288E0;-1,000000000E0
4,931350338E1;6,508219918E1;2,540292568E1;1,278627667E0;1,878034911E1;1,243900505E0;1,897311138E2;9,024928898E-2;4,590644815E0;4,081642144E0;-1,000000000E0
5,031348777E1;6,508218686E1;2,540292288E1;8,166026408E-1;1,831831907E1;1,254108146E0;1,859763014E2;9,122972209E-2;4,607298565E0;4,117595009E0;-1,000000000E0
5,131347096E1;6,508217817E1;2,540292648E1;5,101349968E-1;1,801184716E1;1,091140240E0;1,796171521E2;9,356516253E-2;4,617686973E0;4,107092169E0;-1,000000000E0
5,231345499E1;6,508216042E1;2,540289984E1;1,296996120E0;1,879870400E1;1,450169284E0;1,934308726E2;9,553958684E-2;4,634900896E0;4,072485079E0;-1,000000000E0
5,331343961E1;6,508214324E1;2,540288922E1;1,826365510E0;1,932806726E1;1,688941000E0;1,930056732E2;9,736351564E-2;4,641671520E0;4,048587081E0;-1,000000000E0
5,431342363E1;6,508212709E1;2,540288242E1;3,139692787E0;2,064138837E1;1,836985882E0;1,933747535E2;9,930053094E-2;4,640827731E0;4,035553089E0;-1,000000000E0
5,531340766E1;6,508210974E1;2,540287863E1;2,923139986E0;2,042482848E1;1,999317528E0;1,929118394E2;1,013992541E-1;4,640920965E0;4,023743336E0;-1,000000000E0
5,631339085E1;6,508209093E1;2,540288222E1;2,220651858E0;1,972233167E1;2,047426988E0;1,853100433E2;1,033174381E-1;4,634130735E0;4,013245543E0;-1,000000000E0
5,731337488E1;6,508207535E1;2,540286463E1;2,276345794E0;1,977802109E1;2,030968978E0;1,902125735E2;1,052549529E-1;4,621074242E0;3,981991507E0;-1,000000000E0
5,831335795E1;6,508205948E1;2,540284756E1;2,160446108E0;1,966211669E1;2,005449890E0;1,955300693E2;1,072817569E-1;4,603598206E0;4,015928950E0;-1,000000000E0
5,931334162E1;6,508204129E1;2,540284463E1;2,281376309E0;1,978303933E1;2,068421192E0;1,947525206E2;1,093461538E-1;4,601798629E0;4,009699710E0;-1,000000000E0
6,031332517E1;6,508202279E1;2,540284106E1;4,955896523E0;2,245755192E1;1,987889967E0;1,917488137E2;1,109062480E-1;4,621288152E0;4,024199703E0;-1,000000000E0
6,131330860E1;6,508201185E1;2,540282021E1;5,556700810E0;2,305835414E1;1,872237425E0;2,039687971E2;1,129394023E-1;4,630498313E0;4,014701335E0;-1,000000000E0
6,231329250E1;6,508199428E1;2,540280816E1;3,858272854E0;2,135992008E1;1,947744844E0;2,061506871E2;1,144097269E-1;4,618451414E0;3,944310184E0;-1,000000000E0
6,331327569E1;6,508198179E1;2,540279786E1;3,600070594E0;2,110171370E1;1,912688984E0;2,076853546E2;1,163467032E-1;4,607606831E0;3,939253407E0;-1,000000000E0
6,431325996E1;6,508196455E1;2,540279199E1;3,123301146E0;2,062493748E1;2,004334251E0;2,013965489E2;1,182308933E-1;4,580322142E0;3,978794501E0;-1,000000000E0
6,531324327E1;6,508194847E1;2,540277925E1;3,284664657E0;2,078629562E1;2,048545219E0;2,001198817E2;1,203407493E-1;4,579730813E0;3,976058830E0;-1,000000000E0
6,631322646E1;6,508193824E1;2,540274133E1;2,555644326E0;2,005727574E1;2,033421483E0;2,128969067E2;1,223306243E-1;4,590097295E0;3,911034698E0;-1,000000000E0
6,731321013E1;6,508193400E1;2,540270007E1;2,183365432E0;1,968500035E1;1,962916281E0;2,347299032E2;1,232865159E-1;4,609966586E0;3,913842790E0;-1,000000000E0
6,831319320E1;6,508192920E1;2,540268314E1;2,360600468E0;1,986223549E1;1,816408030E0;2,409085224E2;1,245227005E-1;4,638822824E0;3,895114379E0;-1,000000000E0
6,931317627E1;6,508192190E1;2,540266324E1;2,351203121E0;1,985283754E1;1,937797838E0;2,415513690E2;1,274450616E-1;4,642645886E0;3,813556726E0;-1,000000000E0
7,031316018E1;6,508189639E1;2,540267821E1;2,679810308E0;2,018143163E1;2,031922403E0;2,094101392E2;1,297417601E-1;4,617810831E0;3,759513202E0;-1,000000000E0
7,131314385E1;6,508187809E1;2,540270097E1;3,455674871E0;2,095728525E1;2,086173523E0;1,832750763E2;1,314114470E-1;4,594224334E0;3,708522582E0;-1,000000000E0
7,231312644E1;6,508186416E1;2,540271428E1;2,500248862E0;2,000185143E1;1,907104004E0;1,740747843E2;1,330843556E-1;4,578483937E0;3,599145765E0;-1,000000000E0
7,331310952E1;6,508184915E1;2,540271194E1;2,312072119E0;1,981366843E1;1,799968201E0;1,693814968E2;1,352376802E-1;4,574294703E0;3,591707811E0;-1,000000000E0
7,431309295E1;6,508183153E1;2,540269286E1;1,781135522E0;1,928272661E1;2,130615742E0;1,868304068E2;1,370336309E-1;4,583249112E0;3,580274376E0;-1,000000000E0
7,531307626E1;6,508182886E1;2,540265506E1;2,276634710E0;1,977822954E1;1,838968589E0;2,165878081E2;1,384173958E-1;4,599592336E0;3,559253767E0;-1,000000000E0
7,631305933E1;6,508181974E1;2,540263495E1;1,428881772E0;1,893047522E1;1,886659321E0;2,302720705E2;1,406499568E-1;4,619259010E0;3,533692577E0;-1,000000000E0
7,731304252E1;6,508180023E1;2,540264618E1;-3,958679223E-1;1,710571555E1;1,755466923E0;2,124082535E2;1,426793502E-1;4,620770606E0;3,531715736E0;-1,000000000E0
7,831302559E1;6,508178216E1;2,540265226E1;9,565413808E-1;1,845811616E1;1,961034690E0;1,958201736E2;1,448184226E-1;4,611832907E0;3,543378934E0;-1,000000000E0
7,931300867E1;6,508176500E1;2,540267290E1;2,039867032E0;1,954143164E1;2,116319971E0;1,780142959E2;1,464021962E-1;4,601546536E0;3,556726938E0;-1,000000000E0
8,031299150E1;6,508175268E1;2,540268985E1;7,477451591E-1;1,824930219E1;2,017027631E0;1,693102105E2;1,482415097E-1;4,603718107E0;3,553915675E0;-1,000000000E0
8,131297517E1;6,508173652E1;2,540269822E1;8,549259463E-1;1,835647483E1;2,055712959E0;1,688919184E2;1,497889967E-1;4,599465296E0;3,559417933E0;-1,000000000E0
8,231295848E1;6,508172289E1;2,540270496E1;1,003773260E0;1,850531532E1;2,002752892E0;1,691201484E2;1,517495968E-1;4,596474527E0;3,563279242E0;-1,000000000E0
8,331294119E1;6,508170543E1;2,540271069E1;1,278163949E0;1,877969763E1;2,088781870E0;1,711592128E2;1,531885836E-1;4,594874298E0;3,565342510E0;-1,000000000E0
8,431292450E1;6,508169248E1;2,540271099E1;1,080446843E0;1,858197483E1;1,961669550E0;1,749664331E2;1,551376444E-1;4,595937730E0;3,563971579E0;-1,000000000E0
8,531290746E1;6,508167496E1;2,540271117E1;1,139875351E0;1,864139566E1;2,016198020E0;1,770719931E2;1,566530311E-1;4,590260158E0;3,571281103E0;-1,000000000E0
8,631289041E1;6,508166146E1;2,540270673E1;1,398336857E0;1,889985184E1;1,969923424E0;1,821841621E2;1,583541293E-1;4,572006698E0;3,594619839E0;-1,000000000E0
8,731287372E1;6,508164636E1;2,540271258E1;1,406021173E0;1,890752880E1;1,941831179E0;1,795052702E2;1,600081267E-1;4,570981922E0;3,595922872E0;-1,000000000E0
8,831285727E1;6,508163159E1;2,540270832E1;3,071355175E0;2,057285691E1;1,940841834E0;1,812525206E2;1,616601112E-1;4,576968300E0;3,588300185E0;-1,000000000E0
8,931283951E1;6,508161674E1;2,540270790E1;3,528012601E0;2,102950790E1;1,934631081E0;1,817169189E2;1,637210401E-1;4,581298034E0;3,582770626E0;-1,000000000E0
9,031282365E1;6,508159822E1;2,540270968E1;2,413230193E0;1,991471717E1;2,055239154E0;1,791826459E2;1,657974137E-1;4,579451208E0;3,585130913E0;-1,000000000E0
9,131280589E1;6,508158339E1;2,540273660E1;3,239177682E0;2,074065469E1;2,095155267E0;1,685353953E2;1,674298213E-1;4,592570230E0;3,568309925E0;-1,000000000E0
9,231278920E1;6,508156890E1;2,540274229E1;3,844672486E0;2,134614243E1;2,029704470E0;1,723309142E2;1,691111372E-1;4,599274662E0;3,559664257E0;-1,000000000E0
9,331277251E1;6,508155513E1;2,540275708E1;2,664371816E0;2,016583383E1;1,913932629E0;1,716184807E2;1,705449720E-1;4,596537604E0;3,563197874E0;-1,000000000E0
9,431275570E1;6,508154271E1;2,540276534E1;2,625656212E0;2,012711173E1;1,798474301E0;1,765599039E2;1,725637849E-1;4,590267809E0;3,571271268E0;-1,000000000E0
9,531273878E1;6,508152459E1;2,540276822E1;5,585529150E0;2,308697638E1;1,922030486E0;1,799502348E2;1,744236444E-1;4,587836174E0;3,574394533E0;-1,000000000E0
9,631272161E1;6,508150800E1;2,540276321E1;4,028773122E0;2,153021375E1;2,011081391E0;1,871604703E2;1,761643367E-1;4,586863318E0;3,575642871E0;-1,000000000E0
9,731270480E1;6,508149279E1;2,540277196E1;3,291894186E0;2,079332704E1;1,997949442E0;1,838719764E2;1,778083454E-1;4,588178000E0;3,573955746E0;-1,000000000E0
9,831268787E1;6,508147867E1;2,540278237E1;4,170053571E0;2,167147891E1;1,980775672E0;1,777038900E2;1,793974514E-1;4,588251299E0;3,573861644E0;-1,000000000E0
